EDO,PH20,PM20,NH21,NM21,NH22,NM22,NH23,NM23,NH24,NM24,MH21,MM21,MH22,MM22,MH23,MM23,MH24,MM24,SH20,SM20,SH21,SM21,SH22,SM22,SH23,SM23,SH24,SM24,PH21,PM21,PH22,PM22,PH23,PM23,PH24,PM24,P20,P21,P22,P23,P24
Aguascalientes,696683,728924,11854,11319,10857,10470,10382,9846,9742,9434,5542,4275,4563,3637,4179,3267,4252,3437,161,24,146,31,125,32,110,42,143,38,702995,735968,709289,742801,715492,749380,720982,755377,1425607,1438963,1452090,1464872,1476359
Baja California,1900589,1868431,29785,29502,30904,30116,32224,31091,29724,29505,18217,10708,15642,9436,14341,8493,14291,8956,89,10,106,17,78,18,170,25,156,35,1912157,1887225,1927419,1907905,1945302,1930503,1960735,1951052,3769020,3799382,3835324,3875805,3911787
Baja California Sur,405879,392568,5181,5108,5764,5427,5330,5258,5277,5145,3661,2331,2638,1730,2428,1650,2595,1699,60,8,54,5,62,6,57,14,67,9,407399,395345,410525,399042,413427,402650,416109,406096,798447,802744,809567,816077,822205
Campeche,456939,471424,7279,7082,7089,6880,6782,6686,6100,5824,4348,3242,3251,2520,3257,2412,3312,2587,49,22,93,19,78,15,79,17,69,11,459870,475264,463708,479624,467233,483898,470021,487135,928363,935134,943332,951131,957156
Coahuila,1563669,1583102,23910,23436,23603,22966,22452,21675,21786,21080,13572,10499,11897,9621,11036,8777,11033,8952,240,39,253,45,258,49,267,53,236,55,1574007,1596039,1585713,1609384,1597129,1622282,1607882,1634410,3146771,3170046,3195097,3219411,3242292
Colima,360622,370769,4853,4743,4747,4429,4492,4415,4151,3997,4338,2863,3549,2222,3423,2253,3480,2210,41,10,70,8,54,7,41,10,33,10,361137,372649,362335,374856,363404,377018,364075,378805,731391,733786,737191,740422,742880
Chiapas,2705947,2837881,74771,72202,79125,73298,75862,75056,67892,66505,22677,17617,17755,14412,17066,14102,17453,14569,172,36,196,53,228,41,203,45,172,35,2758041,2892466,2819411,2951352,2878207,3012306,2928646,3064242,5543828,5650507,5770763,5890513,5992888
Chihuahua,1853822,1888047,28194,27031,26378,25604,25781,25071,25667,25162,18887,13179,17360,11900,16322,11413,16188,11474,445,108,456,126,440,97,467,98,445,102,1863129,1901899,1872147,1915603,1881606,1929261,1891085,1942949,3741869,3765028,3787750,3810867,3834034
Ciudad de México,4404927,4805017,47949,46825,45040,43860,43593,42343,41910,40731,56560,44879,36533,33900,34246,31921,35272,32631,360,100,273,85,213,68,312,96,390,114,4396316,4806963,4404823,4816923,4414170,4827345,4420808,4835445,9209944,9203279,9221746,9241515,9256253
Durango,904866,927784,15996,15206,15334,14944,15304,14757,14878,14636,7817,6081,6771,5113,5766,4570,6032,4549,89,28,112,29,129,26,144,27,133,35,913045,936909,921608,946740,931146,956927,939992,967014,1832650,1849954,1868348,1888073,1907006
Guanajuato,2996454,3170480,54561,53344,50033,48670,47128,45977,43989,42754,33099,23821,25047,18461,23171,17486,23864,17672,424,87,370,87,418,87,451,117,386,85,3017916,3200003,3042902,3230212,3066859,3258703,3086984,3283785,6166934,6217919,6273114,6325562,6370769
Guerrero,1700612,1840073,33389,32500,36257,36046,32468,32272,26819,27078,16631,11856,12079,8848,11014,8301,10967,8102,32,16,37,9,75,14,52,24,39,13,1717370,1860717,1741548,1887915,1763002,1911886,1778854,1930862,3540685,3578087,3629463,3674888,3709716
Hidalgo,1481379,1601462,20212,19401,19354,18831,18639,18399,17329,16962,14784,10598,10433,8413,9843,8033,10402,8358,100,35,155,33,99,26,164,44,147,41,1486807,1610265,1495728,1620683,1504524,1631049,1511451,1639653,3082841,3097072,3116411,3135573,3151104
Jalisco,4098455,4249696,65401,62640,67081,64793,65032,62838,59072,57136,43864,31585,32724,24501,30196,23255,31434,24263,568,102,628,113,551,116,585,151,584,139,4119992,4280751,4154349,4321043,4189185,4360626,4216823,4393499,8348151,8400743,8475392,8549811,8610322
México,8251295,8741123,111149,109263,112171,109433,106906,104639,100020,97586,89503,64257,56699,45506,53851,43765,56136,44839,663,187,740,212,792,211,898,297,991,276,8272941,8786129,8328413,8850056,8381468,8910930,8425352,8963677,16992418,17059070,17178469,17292398,17389029
Michoacán,2306341,2442505,41491,40099,41383,39788,38638,37528,34851,33874,27780,19611,19427,13887,17634,13174,17621,13420,313,70,278,58,232,65,286,72,261,59,2320052,2462993,2342008,2488894,2363012,2513248,2380242,2533702,4748846,4783045,4830902,4876260,4913944
Morelos,950847,1020673,13046,12741,13923,13163,12230,12193,11054,10468,13357,9114,9240,6893,8861,6795,9318,6725,91,17,128,32,108,32,122,27,99,19,950536,1024300,955219,1030570,958588,1035968,960324,1039711,1971520,1974836,1985789,1994556,2000035
Nayarit,612278,623178,8740,8682,9303,8985,9053,8581,8258,7862,6133,4278,4625,3232,4255,3057,4313,3214,76,17,73,20,120,24,80,16,71,16,614885,627582,619563,633335,624361,638859,628306,643507,1235456,1242467,1252898,1263220,1271813
Nuevo León,2890950,2893492,41895,40598,42024,40902,40773,39499,38489,37133,26550,19180,21883,16814,20570,15748,21165,16118,305,54,352,55,348,82,307,66,345,73,2906295,2914910,2926436,2938998,2946639,2962749,2963963,2983764,5784442,5821205,5865434,5909388,5947727
Oaxaca,1974843,2157305,36494,35850,30259,29354,34945,34064,28811,28639,22863,17827,16445,14065,15110,13270,15757,13704,184,35,156,36,135,33,191,43,194,34,1988474,2175328,2002288,2190617,2022123,2211411,2035177,2226346,4132148,4163802,4192905,4233534,4261523
Puebla,3160115,3423163,58124,57209,57474,55485,54196,52836,48558,47253,37535,29112,24250,20435,22568,19676,22856,19937,274,69,277,88,230,63,305,79,292,92,3180704,3451260,3213928,3486310,3245556,3519470,3271258,3546786,6583278,6631964,6700238,6765026,6818044
Querétaro,1156820,1211647,16709,16243,16535,16042,15923,15170,14915,14518,10551,7649,7790,5961,7149,5628,7299,5827,176,28,186,50,199,46,191,37,166,53,1162978,1220241,1171723,1230322,1180497,1239864,1188113,1248555,2368467,2383219,2402045,2420361,2436668
Quintana Roo,936779,921206,13289,12948,13869,13370,12820,12470,11221,11041,6969,4371,5460,3366,5780,3607,5710,3716,138,42,127,42,128,29,148,38,183,51,943099,929783,951508,939787,958548,948650,964059,955975,1857985,1872882,1891295,1907198,1920034
San Luis Potosí,1372451,1449804,21931,21336,21679,20973,20889,20186,18996,18236,14742,10731,11718,8910,10471,8390,10979,8630,223,41,241,46,226,48,214,34,218,43,1379640,1460409,1389601,1472472,1400019,1484268,1408036,1493874,2822255,2840049,2862073,2884287,2901910
Sinaloa,1494815,1532128,22695,21943,23947,22987,22837,21935,20021,19170,14110,9914,10419,7312,10083,6884,10452,6939,108,9,146,28,147,31,156,27,156,18,1503400,1544157,1516928,1559832,1529682,1574883,1539251,1587114,3026943,3047557,3076760,3104565,3126365
Sonora,1472197,1472643,20691,20057,19499,19092,19279,18438,17840,17227,15389,10167,13283,8769,12059,8005,11905,8114,273,38,282,51,244,39,246,31,215,53,1477499,1482533,1483715,1492856,1490935,1503289,1496870,1512402,2944840,2960032,2976571,2994224,3009272
