EDO,PH20,PM20,NH21,NM21,NH22,NM22,NH23,NM23,NH24,NM24,MH21,MM21,MH22,MM22,MH23,MM23,MH24,MM24,SH20,SM20,SH21,SM21,SH22,SM22,SH23,SM23,SH24,SM24,PH21,PM21,PH22,PM22,PH23,PM23,PH24,PM24,P20,P21,P22,P23,P24
Aguascalientes,696683,728924,11854,11319,10857,10470,10382,9846,9742,9434,5542,4275,4563,3637,4179,3267,4252,3437,161,24,146,31,125,32,110,42,143,38,702849,735937,709018,742738,715111,749275,720458,755234,1425607,1438786,1451756,1464386,1475692
Baja California,1900589,1868431,29785,29502,30904,30116,32224,31091,29724,29505,18217,10708,15642,9436,14341,8493,14291,8956,89,10,106,17,78,18,170,25,156,35,1912051,1887208,1927235,1907870,1944948,1930443,1960225,1950957,3769020,3799259,3835105,3875391,3911182
Baja California Sur,405879,392568,5181,5108,5764,5427,5330,5258,5277,5145,3661,2331,2638,1730,2428,1650,2595,1699,60,8,54,5,62,6,57,14,67,9,407345,395340,410409,399031,413254,402625,415869,406062,798447,802685,809440,815879,821931
Campeche,456939,471424,7279,7082,7089,6880,6782,6686,6100,5824,4348,3242,3251,2520,3257,2412,3312,2587,49,22,93,19,78,15,79,17,69,11,459777,475245,463537,479590,466983,483847,469702,487073,928363,935022,943127,950830,956775
Coahuila,1563669,1583102,23910,23436,23603,22966,22452,21675,21786,21080,13572,10499,11897,9621,11036,8777,11033,8952,240,39,253,45,258,49,267,53,236,55,1573754,1595994,1585202,1609290,1596351,1622135,1606868,1634208,3146771,3169748,3194492,3218486,3241076
Colima,360622,370769,4853,4743,4747,4429,4492,4415,4151,3997,4338,2863,3549,2222,3423,2253,3480,2210,41,10,70,8,54,7,41,10,33,10,361067,372641,362211,374841,363239,376993,363877,378770,731391,733708,737052,740232,742647
Chiapas,2705947,2837881,74771,72202,79125,73298,75862,75056,67892,66505,22677,17617,17755,14412,17066,14102,17453,14569,172,36,196,53,228,41,203,45,172,35,2757845,2892413,2818987,2951258,2877580,3012167,2927847,3064068,5543828,5650258,5770245,5889747,5991915
Chihuahua,1853822,1888047,28194,27031,26378,25604,25781,25071,25667,25162,18887,13179,17360,11900,16322,11413,16188,11474,445,108,456,126,440,97,467,98,445,102,1862673,1901773,1871251,1915380,1880243,1928940,1889277,1942526,3741869,3764446,3786631,3809183,3831803
Ciudad de México,4404927,4805017,47949,46825,45040,43860,43593,42343,41910,40731,56560,44879,36533,33900,34246,31921,35272,32631,360,100,273,85,213,68,312,96,390,114,4396043,4806878,4404337,4816770,4413372,4827096,4419620,4835082,9209944,9202921,9221107,9240468,9254702
Durango,904866,927784,15996,15206,15334,14944,15304,14757,14878,14636,7817,6081,6771,5113,5766,4570,6032,4549,89,28,112,29,129,26,144,27,133,35,912933,936880,921367,946685,930761,956845,939474,966897,1832650,1849813,1868052,1887606,1906371
Guanajuato,2996454,3170480,54561,53344,50033,48670,47128,45977,43989,42754,33099,23821,25047,18461,23171,17486,23864,17672,424,87,370,87,418,87,451,117,386,85,3017546,3199916,3042114,3230038,3065620,3258412,3085359,3283409,6166934,6217462,6272152,6324032,6368768
Guerrero,1700612,1840073,33389,32500,36257,36046,32468,32272,26819,27078,16631,11856,12079,8848,11014,8301,10967,8102,32,16,37,9,75,14,52,24,39,13,1717333,1860708,1741436,1887892,1762838,1911839,1778651,1930802,3540685,3578041,3629328,3674677,3709453
Hidalgo,1481379,1601462,20212,19401,19354,18831,18639,18399,17329,16962,14784,10598,10433,8413,9843,8033,10402,8358,100,35,155,33,99,26,164,44,147,41,1486652,1610232,1495474,1620624,1504106,1630946,1510886,1639509,3082841,3096884,3116098,3135052,3150395
Jalisco,4098455,4249696,65401,62640,67081,64793,65032,62838,59072,57136,43864,31585,32724,24501,30196,23255,31434,24263,568,102,628,113,551,116,585,151,584,139,4119364,4280638,4153170,4320814,4187421,4360246,4214475,4392980,8348151,8400002,8473984,8547667,8607455
México,8251295,8741123,111149,109263,112171,109433,106906,104639,100020,97586,89503,64257,56699,45506,53851,43765,56136,44839,663,187,740,212,792,211,898,297,991,276,8272201,8785917,8326881,8849633,8379038,8910210,8421931,8962681,16992418,17058118,17176514,17289248,17384612
Michoacán,2306341,2442505,41491,40099,41383,39788,38638,37528,34851,33874,27780,19611,19427,13887,17634,13174,17621,13420,313,70,278,58,232,65,286,72,261,59,2319774,2462935,2341498,2488771,2362216,2513053,2379185,2533448,4748846,4782709,4830269,4875269,4912633
Morelos,950847,1020673,13046,12741,13923,13163,12230,12193,11054,10468,13357,9114,9240,6893,8861,6795,9318,6725,91,17,128,32,108,32,122,27,99,19,950408,1024268,954983,1030506,958230,1035877,959867,1039601,1971520,1974676,1985489,1994107,1999468
Nayarit,612278,623178,8740,8682,9303,8985,9053,8581,8258,7862,6133,4278,4625,3232,4255,3057,4313,3214,76,17,73,20,120,24,80,16,71,16,614812,627562,619370,633291,624088,638799,627962,643431,1235456,1242374,1252661,1262887,1271393
