EDO,PH20,PM20,NH21,NM21,NH22,NM22,NH23,NM23,NH24,NM24,MH21,MM21,MH22,MM22,MH23,MM23,MH24,MM24,SH20,SM20,SH21,SM21,SH22,SM22,SH23,SM23,SH24,SM24,P20
Aguascalientes,696683,728924,11801,11266,10796,10410,10317,9779,9627,9315,5457,4255,4469,3612,4096,3247,4172,3420,157,24,143,31,123,32,108,41,139,38,1425607
Baja California,1900589,1868431,29651,29364,30732,29944,32022,30881,29372,29134,17939,10657,15321,9372,14056,8441,14023,8911,87,10,104,17,77,18,166,25,152,35,3769020
Baja California Sur,405879,392568,5158,5084,5732,5396,5297,5222,5215,5080,3605,2320,2584,1718,2380,1640,2546,1691,59,8,53,5,61,6,56,14,65,9,798447
Campeche,456939,471424,7246,7049,7049,6841,6739,6641,6028,5751,4282,3227,3184,2503,3192,2397,3250,2574,48,22,91,19,77,15,77,17,67,11,928363
Coahuila,1563669,1583102,23802,23326,23471,22835,22311,21529,21528,20815,13365,10449,11653,9556,10816,8724,10826,8907,235,38,248,45,253,49,261,52,230,54,3146771
Colima,360622,370769,4831,4721,4721,4404,4464,4385,4102,3947,4272,2849,3476,2207,3355,2239,3415,2199,40,10,69,8,53,7,40,10,32,10,731391
Chiapas,2705947,2837881,74434,71864,78684,72880,75386,74549,67089,65669,22331,17534,17391,14315,16726,14016,17126,14496,168,35,192,53,224,41,199,44,168,35,5543828
Chihuahua,1853822,1888047,28067,26904,26231,25458,25619,24902,25363,24846,18599,13117,17004,11820,15997,11344,15885,11417,435,106,447,125,432,96,457,97,434,101,3741869
Ciudad de México,4404927,4805017,47733,46606,44789,43610,43319,42057,41414,40219,55697,44666,35784,33671,33564,31727,34612,32468,352,98,268,84,209,68,305,95,380,113,9209944
Durango,904866,927784,15924,15135,15248,14859,15208,14657,14702,14452,7698,6052,6632,5078,5651,4542,5919,4526,87,28,110,29,127,26,141,27,130,35,1832650
Guanajuato,2996454,3170480,54315,53094,49754,48392,46832,45666,43469,42217,32594,23708,24533,18336,22710,17380,23417,17584,415,86,363,86,410,86,441,116,376,84,6166934
Guerrero,1700612,1840073,33239,32348,36055,35840,32264,32054,26502,26738,16377,11800,11831,8788,10795,8251,10762,8062,31,16,36,9,74,14,51,24,38,13,3540685
Hidalgo,1481379,1601462,20121,19310,19246,18724,18522,18275,17124,16749,14558,10548,10219,8356,9647,7984,10207,8316,98,34,152,33,97,26,160,43,143,41,3082841
Jalisco,4098455,4249696,65106,62347,66707,64423,64624,62413,58373,56418,43195,31435,32053,24335,29595,23114,30845,24142,555,100,616,112,541,115,572,149,569,137,8348151
México,8251295,8741123,110648,108751,111545,108808,106235,103932,98837,96359,88137,63953,55536,45198,52779,43499,55085,44616,648,184,726,210,777,210,879,293,966,273,16992418
Michoacán,2306341,2442505,41304,39911,41152,39561,38395,37274,34439,33448,27356,19518,19029,13793,17283,13094,17291,13353,306,69,273,57,228,65,280,71,254,58,4748846
Morelos,950847,1020673,12987,12681,13845,13088,12153,12111,10923,10336,13153,9071,9051,6846,8685,6754,9144,6691,89,17,126,32,106,32,119,27,96,19,1971520
Nayarit,612278,623178,8701,8641,9251,8934,8996,8523,8160,7763,6039,4258,4530,3210,4170,3038,4232,3198,74,17,72,20,118,24,78,16,69,16,1235456
Nuevo León,2890950,2893492,41706,40408,41790,40669,40517,39232,38034,36666,26145,19089,21434,16700,20161,15652,20769,16038,298,53,345,55,342,82,300,65,336,72,5784442
Oaxaca,1974843,2157305,36330,35682,30090,29186,34726,33834,28470,28279,22514,17743,16108,13970,14809,13189,15462,13636,180,34,153,36,133,33,187,42,189,34,4132148
Puebla,3160115,3423163,57862,56941,57153,55168,53856,52479,47984,46659,36962,28974,23753,20297,22119,19557,22428,19838,268,68,272,87,226,63,298,78,285,91,6583278
Querétaro,1156820,1211647,16634,16167,16443,15950,15823,15067,14739,14336,10390,7613,7630,5921,7007,5594,7162,5798,172,28,182,50,195,46,187,37,162,52,2368467
Quintana Roo,936779,921206,13229,12887,13792,13294,12739,12386,11088,10902,6863,4350,5348,3343,5665,3585,5603,3697,135,41,125,42,126,29,145,38,178,50,1857985
San Luis Potosí,1372451,1449804,21832,21236,21558,20853,20758,20050,18771,18007,14517,10680,11478,8850,10263,8339,10773,8587,218,40,236,46,222,48,209,34,212,43,2822255
Sinaloa,1494815,1532128,22593,21840,23813,22856,22694,21787,19784,18929,13895,9867,10205,7263,9882,6842,10256,6904,106,9,143,28,144,31,153,27,152,18,3026943
Sonora,1472197,1472643,20598,19963,19390,18983,19158,18313,17629,17010,15154,10119,13011,8710,11819,7956,11682,8074,267,37,277,51,240,39,241,31,210,52,2944840
Tabasco,1173671,1228927,21750,21379,20193,19404,18611,18261,17225,16662,10874,8315,8415,6573,8361,6345,9188,6917,86,29,92,19,121,35,147,31,165,44,2402598
Tamaulipas,1736140,1791595,25089,23959,24110,23177,22507,21831,21722,20999,15176,11485,12512,9742,11757,9253,12318,9282,131,33,168,34,181,36,171,39,173,35,3527735
Tlaxcala,649894,693083,10260,10035,9965,9653,9844,9637,8869,8596,7053,5278,4346,3689,4118,3454,4164,3521,43,9,49,12,52,20,63,19,51,21,1342977
Veracruz,3871774,4190805,53582,51455,55329,53782,50628,49154,45945,44632,43562,35491,32989,28566,32237,28194,32783,28558,234,55,212,41,216,40,291,58,316,64,8062579
Yucatán,1140279,1180619,14138,13926,14103,13829,13464,13037,12526,12282,10690,8309,8257,6950,8322,6782,8842,7373,184,59,275,65,305,61,285,56,283,48,2320898
Zacatecas,791058,831080,14420,14022,13402,13368,12705,12373,11851,11717,8874,6069,7147,5229,6079,4561,5796,4508,107,19,110,20,99,27,88,22,92,27,1622138
Extranjero,0,0,4369,4416,5363,5307,5793,6071,10018,10373,1146,515,1156,534,1228,475,1051,450,11,2,17,3,20,4,26,4,13,1,0
